Symbol;Position;Type;Lots;Open time;Open price;Close time;Close price;Profit;Net profit;Comment
EURUSD;593872990;Sell Stop;0.02;06.04.2022 20:49:30;1.08924;06.04.2022 20:53:03;1.08955;-13.96;-13.96;[S/L]
EURUSD;593869398;Sell;0.02;06.04.2022 20:46:27;1.08898;06.04.2022 20:46:52;1.08937;-17.56;-17.56;
EURUSD;593863127;Sell Stop;0.02;06.04.2022 20:42:17;1.08839;06.04.2022 20:44:08;1.08887;-21.62;-21.62;[S/L]
EURUSD;593833953;Buy Stop;0.02;06.04.2022 20:28:14;1.08835;06.04.2022 20:37:12;1.08854;8.53;8.53;[S/L]
EURUSD;593831511;Buy Stop;0.02;06.04.2022 20:27:11;1.08863;06.04.2022 20:27:29;1.08822;-18.42;-18.42;[S/L]
EURUSD;593751450;Sell Stop;0.02;06.04.2022 19:57:51;1.09032;06.04.2022 20:02:03;1.09064;-14.39;-14.39;[S/L]
EURUSD;593402341;Sell Stop;0.02;06.04.2022 15:57:55;1.09169;06.04.2022 16:23:36;1.09112;25.57;25.57;[S/L]
OPEN.US;593331975;Sell Stop;7;06.04.2022 15:30:24;8;06.04.2022 15:34:52;7.96;6.26;6.26;[S/L]
EURUSD;592998818;Buy Stop;0.02;06.04.2022 10:25:01;1.09035;06.04.2022 11:16:17;1.09149;51.01;51.01;[S/L]
EURUSD;592916327;Sell;0.02;06.04.2022 09:23:14;1.0898;06.04.2022 09:32:25;1.08906;33.18;33.18;
EURUSD;592866678;Buy;0.02;06.04.2022 08:41:39;1.08827;06.04.2022 09:05:45;1.08848;9.4;9.40;
EURUSD;592816993;Buy Stop;0.02;06.04.2022 07:36:52;1.08983;06.04.2022 07:47:21;1.08936;-20.98;-20.98;[S/L]
EURUSD;592718618;Buy Stop;0.02;06.04.2022 02:32:09;1.09005;06.04.2022 02:47:21;1.0896;-20.08;-20.08;[S/L]
EURUSD;592656100;Buy;0.02;05.04.2022 21:55:18;1.09027;05.04.2022 22:55:11;1.09047;8.92;8.92;
EURUSD;592650079;Buy Stop;0.02;05.04.2022 21:50:44;1.09021;05.04.2022 21:54:25;1.09016;-2.23;-2.23;[S/L]
EURUSD;592569365;Sell;0.02;05.04.2022 20:28:22;1.09109;05.04.2022 20:43:34;1.09056;23.72;23.72;
EURUSD;592549223;Buy;0.02;05.04.2022 20:02:21;1.09147;05.04.2022 20:25:01;1.09111;-16.05;-16.05;
